time,ECG,HR
0,0.0,421.0
2,2.01,410.0
2,1.99,406.0
2,1.93,394.0
2,1.88,382.0
2,1.83,373.0
2,1.77,363.0
2,1.77,362.0
2,1.78,367.0
2,1.85,380.0
2,1.95,399.0
2,1.99,409.0
2,2.05,419.0
2,2.06,422.0
2,2.04,417.0
2,2.05,418.0
2,2.01,411.0
2,2.02,413.0
2,2.0,410.0
2,1.96,398.0
2,1.9,387.0
2,1.85,379.0
2,1.84,374.0
2,1.83,375.0
2,1.85,381.0
2,1.96,402.0
2,2.06,422.0
2,2.09,429.0
2,2.08,424.0
2,2.05,418.0
3,2.0,409.0
3,1.94,397.0
3,1.91,390.0
3,1.9,388.0
3,1.88,386.0
3,1.88,385.0
3,1.9,387.0
3,1.9,389.0
3,1.89,388.0
3,1.91,389.0
3,1.92,393.0
3,1.94,398.0
3,1.93,394.0
3,1.94,393.0
3,1.9,386.0
3,1.84,378.0
3,1.85,379.0
3,1.88,385.0
3,1.89,387.0
3,1.84,376.0
3,1.77,361.0
3,1.73,351.0
3,1.67,341.0
3,1.73,353.0
3,1.29,251.0
3,0.34,64.0
3,0.83,186.0
3,1.75,365.0
3,1.99,407.0
3,1.98,405.0
3,1.93,394.0
3,1.91,387.0
3,1.89,386.0
3,1.86,381.0
3,1.84,376.0
3,1.84,376.0
3,1.84,376.0
3,1.8,370.0
3,1.78,363.0
3,1.76,359.0
3,1.72,351.0
3,1.66,339.0
3,1.65,337.0
3,1.7,347.0
3,1.77,365.0
3,1.86,382.0
3,1.95,399.0
3,1.97,405.0
3,1.96,400.0
3,1.93,394.0
3,1.93,393.0
3,1.91,390.0
3,1.87,383.0
3,1.86,380.0
3,1.86,381.0
3,1.84,378.0
3,1.83,374.0
3,1.84,375.0
3,1.84,376.0
3,1.82,374.0
3,1.82,372.0
3,1.84,375.0
3,1.82,374.0
3,1.8,369.0
3,1.81,371.0
3,1.83,374.0
3,1.81,372.0
3,1.79,367.0
3,1.82,371.0
3,1.82,372.0
4,1.8,369.0
4,1.8,368.0
4,1.82,372.0
4,1.83,374.0
4,1.81,372.0
4,1.82,371.0
4,1.83,372.0
4,1.76,361.0
4,1.78,365.0
4,1.83,374.0
4,1.86,382.0
4,1.86,382.0
4,1.85,379.0
4,1.86,380.0
4,1.85,379.0
4,1.9,392.0
4,1.78,355.0
4,0.85,157.0
4,0.69,157.0
4,1.76,374.0
4,2.19,448.0
4,2.19,446.0
4,2.1,429.0
4,2.03,415.0
4,1.99,407.0
